Activity ID,Activity Name,Normal Duration (Days),Crash Duration (Days),Direct Costs ($M),Overhead/Indirect Costs ($M),Normal Cost ($M),Crash Cost ($M),Resource Demand (Workers),depends,Crash Slope ($/Day),Status,Update Date,duration_days,early_start,early_finish
A,Site Assessment,24,14,0.02,0.003,0.023,0.025,5,[],200.0,Completed,2024-09-30,24,2024-01-01,2024-01-25
B,Master Plan Development,38,28,0.1,0.015,0.115,0.125,10,['A'],1000.0,Completed,2024-09-30,38,2024-01-25,2024-03-03
C,Energy/Water Demand Estimation,21,14,0.01,0.002,0.012,0.014,5,['B'],285.71,Completed,2024-09-30,21,2024-03-03,2024-03-24
D,Feasibility Study,30,21,0.08,0.012,0.092,0.102,8,['B'],1111.11,Completed,2024-09-30,30,2024-03-03,2024-04-02
E,Excavation and Earthworks,31,24,0.2,0.03,0.23,0.25,20,['D'],2857.14,Completed,2024-09-30,31,2024-04-02,2024-04-26
F,Building Construction,154,140,500.0,75.0,575.0,575.2,50,['E'],14285.71,Completed,2024-09-30,154,2024-04-26,2024-09-13
G,River and Lake Installation,70,56,1.75,0.26,2.01,2.03,15,['E'],1428.57,Started,2024-09-30,70,2024-04-26,2024-07-05
H,Vertical Garden Setup,84,70,1.0,0.15,1.15,1.17,10,['F'],1428.57,Started,2024-09-30,84,2024-09-13,2024-12-06
I,Transportation Facility Construction,14,10,2.0,0.3,2.3,2.32,15,['E'],5000.0,Started,2024-09-30,14,2024-04-26,2024-05-10
J,Solar Panel Site Selection,42,35,0.01,0.002,0.012,0.014,5,['B'],285.71,Completed,2024-09-30,42,2024-03-03,2024-04-14
K,Solar Panel Installation,31,24,5.0,0.75,5.75,5.79,20,"['J', 'F']",5714.29,Started,2024-09-30,31,2024-09-13,2024-10-14
L,Inverter and Wiring Setup,24,14,0.1,0.015,0.115,0.125,10,['K'],1000.0,Not Started,2024-09-30,24,2024-10-14,2024-11-07
M,Battery Storage Integration,35,28,0.1,0.015,0.115,0.125,10,['L'],1428.57,Not Started,2024-09-30,35,2024-11-07,2024-12-12
N,Grid Connection,9,7,0.05,0.0075,0.0575,0.0625,5,['M'],2500.0,Not Started,2024-09-30,9,2024-12-12,2024-12-21
O,Water Treatment Plant Design,21,14,0.08,0.012,0.092,0.102,8,['D'],1428.57,Started,2024-09-30,21,2024-04-02,2024-04-23
P,Water Intake System,14,10,0.1,0.015,0.115,0.125,10,['O'],2500.0,Started,2024-09-30,14,2024-04-24,2024-05-08
Q,Pre-Treatment Installation,14,10,0.1,0.015,0.115,0.125,10,['P'],2500.0,Not Started,2024-09-30,14,2024-05-08,2024-05-22
R,Reverse Osmosis System,21,14,0.15,0.0225,0.1725,0.2025,15,['Q'],4285.71,Not Started,2024-09-30,21,2024-05-22,2024-06-12
S,Post-Treatment and Storage,14,10,0.1,0.015,0.115,0.125,10,['R'],2500.0,Not Started,2024-09-30,14,2024-06-12,2024-06-26
T,Distribution Network,21,17,0.15,0.0225,0.1725,0.1825,15,"['S', 'G']",2500.0,Not Started,2024-09-30,21,2024-07-05,2024-07-26
U,System Integration,3,3,0.2,0.03,0.23,0.25,20,"['N', 'T', 'I']",inf,Not Started,2024-09-30,3,2024-12-21,2024-12-24
V,Initial Testing (Energy),28,21,0.01,0.002,0.012,0.014,5,['N'],285.71,Not Started,2024-09-30,28,2024-12-21,2025-01-18
W,Initial Testing (Water),28,21,0.01,0.002,0.012,0.014,5,['T'],285.71,Not Started,2024-09-30,28,2024-07-26,2024-08-23
X,Transportation Testing,21,17,0.01,0.002,0.012,0.014,5,"['I', 'U']",500.0,Not Started,2024-09-30,21,2024-12-24,2025-01-14
Y,Ecosystem Validation,28,24,0.1,0.015,0.115,0.125,10,"['T', 'H']",2500.0,Not Started,2024-09-30,28,2024-12-06,2025-01-03
Z,Landscaping and Aesthetics,21,14,0.15,0.0225,0.1725,0.1825,15,"['G', 'Y']",1428.57,Not Started,2024-09-30,21,2025-01-03,2025-01-24
AA,Safety and Accessibility,7,5,0.01,0.002,0.012,0.014,5,"['F', 'I', 'Z']",1000.0,Not Started,2024-09-30,7,2025-01-24,2025-01-31
AB,Final Inspections,7,6,0.01,0.002,0.012,0.014,5,"['U', 'V', 'W', 'X', 'AA']",2000.0,Not Started,2024-09-30,7,2025-01-31,2025-02-07
AC,Commissioning,7,6,0.01,0.002,0.012,0.014,5,['AB'],2000.0,Not Started,2024-09-30,7,2025-02-07,2025-02-14
AD,Maintenance Plan,14,12,0.01,0.002,0.012,0.014,5,['AC'],1000.0,Not Started,2024-09-30,14,2025-02-14,2025-02-28
